,,,,,
Invoice Date,Invoice Number,Company Name (Seller),Spare Part Name,Qty,Price per Unit
01-08-2025,76,P. P. ENTERPRISES,REEL SUPPORT,6,? 450.00
01-08-2025,76,P. P. ENTERPRISES,LABLE ROLLER,3,? 950.00
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 70 OD AL. SPONGE ROLLER,4 NOS,"? 1,365.00"
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 100 OD AL. SPONGE ROLLER,2 NOS,"? 1,950.00"
,,DE & NEPHEW,20 L X 25 X 10 MM T BELT,1 NOS,"? 1,200.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,Labeling Controller with Step Motor,1.00 Nos,"32,000.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,VFD Communication Cable with 2 Pin MX,1.00 Nos,250
01-08-2025,76,P. P. ENTERPRISES,HANDWEEL,15,160
01-08-2025,76,P. P. ENTERPRISES,BRASS BUSH,20,90
01-08-2025,76,P. P. ENTERPRISES,PILLER PLATE SS 304 200 X125 X3 MM,2,850
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X125X10,5,"1,250.00"
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X150 X10,1,"1,450.00"
01-08-2025,76,P. P. ENTERPRISES,NYLON REEL CORE,3,450
01-08-2025,76,P. P. ENTERPRISES,REWINDER ROLLER,3,950
01-08-2025,76,P. P. ENTERPRISES,SS 304 ROD 10 X180,6,160
01-08-2025,76,P. P. ENTERPRISES,SENSOR MOUNTING BRACKET,3,675
01-08-2025,76,P. P. ENTERPRISES,GUIDE RING 52 X38,6,165
01-08-2025,76,P. P. ENTERPRISES,REEL SUPPORT,6,450
01-08-2025,76,P. P. ENTERPRISES,LABLE ROLLER,3,950
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 70 OD AL. SPONGE ROLLER,4 NOS,"1,365.00"
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 100 OD AL. SPONGE ROLLER,2 NOS,"1,950.00"
,,DE & NEPHEW,20 L X 25 X 10 MM T BELT,1 NOS,"1,200.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,Labeling Controller with Step Motor,1.00 Nos,"32,000.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,VFD Communication Cable with 2 Pin MX,1.00 Nos,250
01-08-2025,76,P. P. ENTERPRISES,HANDWEEL,15,160
01-08-2025,76,P. P. ENTERPRISES,BRASS BUSH,20,90
01-08-2025,76,P. P. ENTERPRISES,PILLER PLATE SS 304 200 X125 X3 MM,2,850
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X125X10,5,"1,250.00"
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X150 X10,1,"1,450.00"
01-08-2025,76,P. P. ENTERPRISES,NYLON REEL CORE,3,450
01-08-2025,76,P. P. ENTERPRISES,REWINDER ROLLER,3,950
01-08-2025,76,P. P. ENTERPRISES,SS 304 ROD 10 X180,6,160
01-08-2025,76,P. P. ENTERPRISES,SENSOR MOUNTING BRACKET,3,675
01-08-2025,76,P. P. ENTERPRISES,GUIDE RING 52 X38,6,165
01-08-2025,76,P. P. ENTERPRISES,REEL SUPPORT,6,450
01-08-2025,76,P. P. ENTERPRISES,LABLE ROLLER,3,950
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 70 OD AL. SPONGE ROLLER,4 NOS,"1,365.00"
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 100 OD AL. SPONGE ROLLER,2 NOS,"1,950.00"
,,DE & NEPHEW,20 L X 25 X 10 MM T BELT,1 NOS,"1,200.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,Labeling Controller with Step Motor,1.00 Nos,"32,000.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,VFD Communication Cable with 2 Pin MX,1.00 Nos,250
01-08-2025,76,P. P. ENTERPRISES,HANDWEEL,15,160
01-08-2025,76,P. P. ENTERPRISES,BRASS BUSH,20,90
01-08-2025,76,P. P. ENTERPRISES,PILLER PLATE SS 304 200 X125 X3 MM,2,850
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X125X10,5,"1,250.00"
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X150 X10,1,"1,450.00"
01-08-2025,76,P. P. ENTERPRISES,NYLON REEL CORE,3,450
01-08-2025,76,P. P. ENTERPRISES,REWINDER ROLLER,3,950
01-08-2025,76,P. P. ENTERPRISES,SS 304 ROD 10 X180,6,160
01-08-2025,76,P. P. ENTERPRISES,SENSOR MOUNTING BRACKET,3,675
01-08-2025,76,P. P. ENTERPRISES,GUIDE RING 52 X38,6,165
01-08-2025,76,P. P. ENTERPRISES,REEL SUPPORT,6,450
01-08-2025,76,P. P. ENTERPRISES,LABLE ROLLER,3,950
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 70 OD AL. SPONGE ROLLER,4 NOS,"1,365.00"
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 100 OD AL. SPONGE ROLLER,2 NOS,"1,950.00"
,,DE & NEPHEW,20 L X 25 X 10 MM T BELT,1 NOS,"1,200.00"
27-06-2025,71,P P ENTERPRISES,SS 304 8 X100 MM STUDE,20,65
27-06-2025,71,P P ENTERPRISES,SS 304 8 X150 MM STUDE,20,75
27-06-2025,71,P P ENTERPRISES,SS 304 8 X200 MM STUDE,20,85
27-06-2025,71,P P ENTERPRISES,SS 304 8 X250 MM STUDE,8,95
27-06-2025,71,P P ENTERPRISES,SS 304 SENSOR ROD 12 X250,20,160
27-06-2025,71,P P ENTERPRISES,SS 304 SENSOR ROD 12 X350,9,170
27-06-2025,71,P P ENTERPRISES,MS C PILLER CLAMP 80 X150,2,560
27-06-2025,71,P P ENTERPRISES,MS C PILLER CLAMP,10,540
27-06-2025,71,P P ENTERPRISES,HANDWEEL,8,160
27-06-2025,71,P P ENTERPRISES,ALU WASHER,50,35
27-06-2025,71,P P ENTERPRISES,SPACER,2,650
30-09-2025,0101/25-26,PACKORA AUTOMATION SYSTEMS,Wraparound Mounting Vertical & Horizontical (X-Y) Slide,2,"7,900.00"
30-09-2025,0101/25-26,PACKORA AUTOMATION SYSTEMS,2 Point Pressing Assembly - Tristan,1,"8,640.00"
,0100/25-26,PACKORA AUTOMATION SYSTEMS,Belt Type Spacer Assembly With Slide-LH,2,"10,200.00"
,0100/25-26,PACKORA AUTOMATION SYSTEMS,Belt Type Spacer Assembly With Slide-RH,1,"10,200.00"
,0100/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Idler Roller: 50 H x 45 OD,2,380
,0100/25-26,PACKORA AUTOMATION SYSTEMS,Aluminium 3-Point Idler Roller: 110 H x 45 OD,2,550
,0100/25-26,PACKORA AUTOMATION SYSTEMS,Wraparound Bottom Plate-367 - Spares,1,"1,680.00"
19-06-2025,DE/25-26/193,[Incomplete Name],HOLOGRAM SLIDE,2,"9,500.00"
17-09-2025,AC/957/25-26,ANALYTE CONTROLS (2024-26),0002EL21W-1-AC (0.25HP / 1PH),10,"4,504.00"
17-09-2025,AC/957/25-26,ANALYTE CONTROLS (2024-26),0004EL21W-1-AC (0.5HP / 1PH),10,"4,651.00"
,0108/25-26,PACKORA AUTOMATION SYSTEMS,SS 304 Sponge Shaft For Splider Mechanism: 12.7 x 103,8,[Empty]
,0108/25-26,PACKORA AUTOMATION SYSTEMS,SS 304 Sponge Shaft For Splider Mechanism: 12.7 x 153,8,[Empty]
17-09-2025,MSB/252609012783,MANGAL SINGH BROTHERS PVT LTD,TIMING PULLEY - 14MM ID,33,377
17-09-2025,MSB/252609012783,MANGAL SINGH BROTHERS PVT LTD,TIMING PULLEY - 19MM ID,30,377
17-09-2025,MSB/252609012783,MANGAL SINGH BROTHERS PVT LTD,TIMING PULLEY - 42 TEETH,30,689
[Empty],70,P P ENTERPRISES,TIMENING PULLEY,4,650
[Empty],70,P P ENTERPRISES,BRASS WYSHER 5 MM,4,180
[Empty],70,P P ENTERPRISES,BRASS WYSHER 2 MM,4,150
[Empty],70,P P ENTERPRISES,S S SPONGE ROD 16 X175,2,325
[Empty],70,P P ENTERPRISES,SPONGE ROD 150 MM,4,275
[Empty],70,P P ENTERPRISES,BEARING 6902 ZZ,4,115
[Empty],70,P P ENTERPRISES,REWINDER HSG,2,550
[Empty],70,P P ENTERPRISES,HANWHEEL EXTENTION ROD 25 X165,2,425
[Empty],70,P P ENTERPRISES,LABELER 200 MM,2,"16,150.00"
[Empty],70,P P ENTERPRISES,SPRING FLANGE,4,600
[Empty],70,P P ENTERPRISES,BLUE ROLLER CORE 200 MM,2,375
[Empty],70,P P ENTERPRISES,KNURLAL ASSEMBLY200,2,450
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,Salzer Cam Operated Rotary Switch 16A 2 Pole,10,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,Black Pipe Gland-40mm 4 Parts,40,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,"Anchor Make 3 Pin Top 16 AMP, 240V ISI",20,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,Elettro Make Junction Box 98mm x 98mm x 61mm,10,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,"Elettro Make PVC Fan Finger Guard-4"" ETFG-01",50,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,Elmex Make Connector Gray: KUT 2.5,500,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,Elmex Make End Plate: KPNS,200,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,Elmex Make 10 Way Shorting Link With Stude: CCLM2.5 K,100,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,Siemens Make Maint / Actuator Red (Mashrum): 3SB52030UC01,10,[Empty]
[Empty],098/25-26,PACKORA AUTOMATION SYSTEMS,"Siemens Make 6 Amp 1 Pole, 10 kA MCB: 5SL41067RC",60,[Empty]
03-10-2025,6692/25-26,MERITT,"SS CHAIN 6"" WIDTH, 700100",18.29,"2,550.00"
[Empty],0115/25-26,PACKORA AUTOMATION SYSTEMS,Plastic 008 Bracket,100,125
[Empty],0115/25-26,PACKORA AUTOMATION SYSTEMS,Plastic 008C Guides C To C 50mm,100,55
01-Jul-25,DE/25-26/231,DORIN ENTERPRISES,Overhead Assembly : 420L x 25W - .025HP,1,"8,500.00"
01-Jul-25,DE/25-26/231,DORIN ENTERPRISES,OVERHEAD SLIDE 80 x 80,1,"9,000.00"
01-Jul-25,DE/25-26/231,DORIN ENTERPRISES,LABELER SLIDE BOX TYPE(SMALL) LH,2,"22,500.00"
01-Jul-25,DE/25-26/231,DORIN ENTERPRISES,LABELER SLIDE BOX TYPE(SMALL) RH,2,"22,500.00"
